originalSentence,referenceSentence,tamperingType,tamperedSentence,"LLMScore (Sim, Con)",BLEU,METEOR,Rouge1 r,Rouge1 p,Rouge1 f,Rouge2 r,Rouge2 p,Rouge2 f,Rougel r,Rougel p,Rougel f,LLM-Sim,LLM-Con,originalLanguage,humanMean
"what has happened internally, however?",men hvad er der så sket internt?,Random Word Addition,"what has unexplainable happened internally, however?","(0.85, 0.95)",0.5946035575013605,0.9744,1.0,0.8333333333333334,0.9090909041322316,0.75,0.6,0.6666666617283951,1.0,0.8333333333333334,0.9090909041322316,0.85,0.95,en,0.5833333333333334
afstemningen finder sted i morgen.,the vote will take place tomorrow.,Word Duplication,afstemningen afstemningen finder sted i morgen.,"(1.00, 1.00)",0.8091067115702212,0.9813,1.0,1.0,0.999999995,1.0,0.8,0.8888888839506174,1.0,1.0,0.999999995,1.0,1.0,da,0.7833333333333333
"forstå det, hvem der kan.",you can make of that what you will.,Letter Duplication,"forrstå det, hvem der kan.","(0.99, 0.99)",0.8091067115702212,0.8552,0.8,0.8,0.7999999950000002,0.75,0.75,0.749999995,0.8,0.8,0.7999999950000002,0.99,0.99,da,0.8333333333333334
det vil ikke ske her.,that will not happen in this house.,Negation Removal,det vil ske her.,"(0.85, 0.95)",7.070696784820904e-78,0.8203,0.8,1.0,0.8888888839506174,0.5,0.6666666666666666,0.5714285665306124,0.8,1.0,0.8888888839506174,0.85,0.95,da,0.016666666666666666
"ja, hvad vil det så sige?","meaning what, precisely?",Letter Removal,"ja, hvad vil de så sige?","(0.95, 0.95)",0.5,0.8648,0.8333333333333334,0.8333333333333334,0.8333333283333335,0.6,0.6,0.5999999950000001,0.8333333333333334,0.8333333333333334,0.8333333283333335,0.95,0.95,da,0.5166666666666667
no end justifies the means.,intet mål helliger midlet.,Word Removal,no justifies the means.,"(0.95, 0.90)",0.5789300674674098,0.8203,0.8,1.0,0.8888888839506174,0.5,0.6666666666666666,0.5714285665306124,0.8,1.0,0.8888888839506174,0.95,0.9,en,0.13333333333333333
"what, though, are the consequences now?",hvilke konsekvenser får dette?,Letter Replacement,"rhat, though, are the consequences now?","(0.98, 0.95)",0.8633400213704505,0.888,0.8333333333333334,0.8333333333333334,0.8333333283333335,0.8,0.8,0.7999999950000002,0.8333333333333334,0.8333333333333334,0.8333333283333335,0.98,0.95,en,0.6633333333333333
"nej, det vedrører os, portugiserne.","no, it concerns us, the portuguese.",Word Replacement,"nej, skimme vedrører os, portugiserne.","(0.95, 0.9)",0.5946035575013605,0.8648,0.8,0.8,0.7999999950000002,0.5,0.5,0.4999999950000001,0.8,0.8,0.7999999950000002,0.95,0.9,da,0.31666666666666665
we must continue to respond.,vi må vedblive med at leve op til forventningerne.,Letter Order Swapping,we muts continue to respond.,"(0.95, 0.99)",0.537284965911771,0.8067,0.8,0.8,0.7999999950000002,0.5,0.5,0.4999999950000001,0.8,0.8,0.7999999950000002,0.95,0.99,en,0.43333333333333335
this is a compromise amendment.,dette er et kompromisændringsforslag.,Word Order Swapping,is this a compromise amendment. ,"(0.95, 0.95)",0.5623413251903491,0.9375,1.0,0.8333333333333334,0.9090909041322316,0.5,0.4,0.4444444395061729,0.8,0.6666666666666666,0.7272727223140496,0.95,0.95,en,0.18333333333333335
