originalSentence,referenceSentence,tamperingType,tamperedSentence,"LLMScore (Sim, Con)",BLEU,METEOR,Rouge1 r,Rouge1 p,Rouge1 f,Rouge2 r,Rouge2 p,Rouge2 f,Rougel r,Rougel p,Rougel f,LLM-Sim,LLM-Con,originalLanguage
de har udtrykt ønske om en debat om dette emne i løbet af mødeperioden.,"you have requested a debate on this subject in the course of the next few days, during this part-session.",Duplicate Token,de har udtrykt ønske om en debat om dette emne i løbet løbet af mødeperioden.,-1,0.8761151623788772,0.9922,1.0,1.0,0.999999995,0.9285714285714286,1.0,0.9629629579698218,1.0,1.0,0.999999995,NULL,NULL,da
jeg opfordrer dem til stående at iagttage et minuts stilhed.,"please rise, then, for this minute' s silence.",Duplicate Token,jeg opfordrer dem til stående at iagttage iagttage et minuts stilhed.,-1,0.8250796367302369,0.988,1.0,1.0,0.999999995,0.9,1.0,0.9473684160664821,1.0,1.0,0.999999995,NULL,NULL,da
(parlamentet iagttog stående et minuts stilhed,(the house rose and observed a minute' s silence),Duplicate character,(parlamentet iagttog ståeende et minuts stilhed,-1,8.44484326442819e-78,0.8413,0.8333333333333334,0.8333333333333334,0.8333333283333335,0.6,0.6,0.5999999950000001,0.8333333333333334,0.8333333333333334,0.8333333283333335,NULL,NULL,da
"alt dette er i tråd med de principper, vi altid har været tilhængere af.",this is all in accordance with the principles that we have always upheld.,Duplicate character,"alt dette err i tråd med de principper, vi altid har været tilhængere af.",-1,0.8371170098777919,0.9364,0.9285714285714286,0.9285714285714286,0.9285714235714286,0.8461538461538461,0.8461538461538461,0.8461538411538462,0.9285714285714286,0.9285714285714286,0.9285714235714286,NULL,NULL,da
"fru formand, jeg vil gerne først give dem en kompliment for den kendsgerning, at de har holdt deres ord, og at antallet af tv-kanaler på vores kontorer faktisk er udvidet enormt nu i denne første mødeperiode i det nye år.","madam president, i would firstly like to compliment you on the fact that you have kept your word and that, during this first part-session of the new year, the number of television channels in our offices has indeed increased considerably.",Duplicate Token,"fru formand, jeg vil gerne først give dem en kompliment for den kendsgerning, at de har holdt deres ord, og at at antallet af tv-kanaler på vores kontorer faktisk er udvidet enormt nu i denne første mødeperiode i det nye år.",-1,0.9595851092834937,0.9974,1.0,1.0,0.999999995,0.975,1.0,0.9873417671526998,1.0,1.0,0.999999995,NULL,NULL,da
"jeg vil således endnu en gang anmode dem om alligevel at sørge for, at vi også får en nederlandsk kanal.",i would therefore once more ask you to ensure that we get a dutch channel as well.,Duplicate character,"jeg vil således endnu en gaang anmode dem om alligevel at sørge for, at vi også får en nederlandsk kanal.",-1,0.8725129388059689,0.9541,0.9444444444444444,0.9444444444444444,0.9444444394444445,0.8947368421052632,0.8947368421052632,0.8947368371052632,0.9444444444444444,0.9444444444444444,0.9444444394444445,NULL,NULL,da
"det vil, håber jeg, blive behandlet i en positiv ånd.","it will, i hope, be examined in a positive light.",Swap words,"det vil, håber jeg, blive behandlet i en ånd. positiv ",-1,0.8070557274927981,0.9939,1.0,1.0,0.999999995,0.7777777777777778,0.7777777777777778,0.7777777727777778,1.0,1.0,0.999999995,NULL,NULL,da
"hvorfor er der ikke foretaget en undersøgelse af luftkvaliteten i denne bygning, siden vi blev valgt?",why has no air quality test been done on this particular building since we were elected?,Negation,"hvorfor er der foretaget en undersøgelse af luftkvaliteten i denne bygning, siden vi blev valgt?",-1,0.8394327083733336,0.9489,1.0,0.9375,0.967741930489074,0.9285714285714286,0.8666666666666667,0.8965517191438764,1.0,0.9375,0.967741930489074,NULL,NULL,da
vi havde en udførlig debat på formandskonferencen.,"in the conference of presidents, we had an in-depth discussion.",Swap characters,vi havde en udførlig debat på foramndskonferencen.,-1,0.7071067811865475,0.8648,0.8571428571428571,0.8571428571428571,0.8571428521428571,0.8333333333333334,0.8333333333333334,0.8333333283333335,0.8571428571428571,0.8571428571428571,0.8571428521428571,NULL,NULL,da
"kun deres gruppe repræsenterede det, som de siger nu.",your group was alone in advocating what you are saying now.,Duplicate Token,"kun deres gruppe repræsenterede det, som de siger nu nu.",-1,0.8574969146885869,0.988,1.0,1.0,0.999999995,0.8888888888888888,1.0,0.9411764656055364,1.0,1.0,0.999999995,NULL,NULL,da
"hver ordfører har jo lige så mange stemmer, som der er medlemmer i gruppen.","as you know, each chairman has the same number of votes as his group has members.",Swap words,"hver ordfører har jo lige så mange stemmer, der som er medlemmer i gruppen. ",-1,0.7700645773757425,0.9922,0.9333333333333333,1.0,0.9655172363852557,0.7142857142857143,0.7692307692307693,0.7407407357475996,0.8666666666666667,0.9285714285714286,0.8965517191438764,NULL,NULL,da
"ppe-de-gruppen ønsker, at dette punkt tages af dagsordenen.",the ppe-de group is requesting that this item be taken off the agenda.,Swap characters,"ppe-de-gruppen ønsker, at dette upnkt tages af dagsordenen.",-1,0.6580370064762462,0.8951,0.875,0.875,0.874999995,0.7142857142857143,0.7142857142857143,0.7142857092857143,0.875,0.875,0.874999995,NULL,NULL,da
"jeg ved ikke, om denne oplysning er rigtig, men ppe-de-gruppen ville i hvert fald være taknemmelig, hvis dette punkt blev annulleret, fordi parlamentet allerede har beskæftiget sig med dette spørgsmål flere gange.","i do not know whether this information is correct, but the ppe-de group would, in any case, be grateful if this item were removed because parliament has addressed this issue several times already.",Negation,"jeg ved, om denne oplysning er rigtig, men ppe-de-gruppen ville i hvert fald være taknemmelig, hvis dette punkt blev annulleret, fordi parlamentet allerede har beskæftiget sig med dette spørgsmål flere gange.",-1,0.9355359393782814,0.9755,0.9666666666666667,0.9354838709677419,0.9508196671324913,0.9333333333333333,0.9032258064516129,0.9180327818865898,0.9666666666666667,0.9354838709677419,0.9508196671324913,NULL,NULL,da
"for et øjeblik siden belærte han socialdemokraterne, fordi de ville ændre en klar beslutning truffet på formandskonferencen. imidlertid gør han det samme.","he has just been preaching to the group of the party of european socialists because they went back on a decision taken in a perfectly clear manner at the conference of presidents, and now he is doing just the same.",Duplicate character,"for et øjeblik siden belærte han socialdemokraterne, fordi de ville ændre en klar beslutning truffet på formandskonnferencen. imidlertid gør han det samme.",-1,0.8895260356363631,0.9597,0.9523809523809523,0.9523809523809523,0.9523809473809525,0.9047619047619048,0.9047619047619048,0.9047618997619049,0.9523809523809523,0.9523809523809523,0.9523809473809525,NULL,NULL,da
selvfølgelig vil protokollen for mødet i morgen tage hensyn til alle de supplerende forklaringer.,"of course, the minutes for tomorrow' s sitting will take into account any additional explanations.",Swap characters,selvfølgelig vil protokollen for mødet i morgen tage hensyn til alle de spuplerende forklaringer.,-1,0.8242367502646054,0.932,0.9285714285714286,0.9285714285714286,0.9285714235714286,0.8461538461538461,0.8461538461538461,0.8461538411538462,0.9285714285714286,0.9285714285714286,0.9285714235714286,NULL,NULL,da
vi vil derfor være meget opmærksomme på udarbejdelsen af protokollen.,"we shall pay particular attention to the wording of the minutes, as we always do, of course.",Duplicate character,vi vil derfor være meget opmærksomme på uudarbejdelsen af protokollen.,-1,0.7016879391277372,0.9055,0.9,0.9,0.899999995,0.7777777777777778,0.7777777777777778,0.7777777727777778,0.9,0.9,0.899999995,NULL,NULL,da
jeg beder om deres godkendelse.,i would urge you to endorse this.,Add random word,jeg serviet beder om deres godkendelse.,-1,0.6731821382417487,0.9654,0.8333333333333334,1.0,0.9090909041322315,0.6,0.75,0.6666666617283951,0.8333333333333334,1.0,0.9090909041322315,NULL,NULL,da
