originalSentence,referenceSentence,tamperingType,tamperedSentence,"LLMScore (Sim, Con)",BLEU,METEOR,Rouge1 r,Rouge1 p,Rouge1 f,Rouge2 r,Rouge2 p,Rouge2 f,Rougel r,Rougel p,Rougel f,LLM-Sim,LLM-Con,originalLanguage
om: det iranske styres atomvåbenprogram,subject: the iranian regime's nuclear weapons programme,Swap characters,om: det iransek styres atomvåbenprogram,"(0.98, 0.95)",7.262123179505913e-78,0.8067,0.8,0.8,0.7999999950000002,0.5,0.5,0.4999999950000001,0.8,0.8,0.7999999950000002,0.98,0.95,da
"hr. elbaradi, generaldirektør for den internationale atomenergiorganisation, ventes at forelægge en rapport for styrelsesrådet den 16. juni om hans resultater vedrørende irans atomvåbenprogram.","mr elbaradi, the director general of the international atomic energy agency, expects to submit a report to the board of governors of the agency in question on 16 june, containing his findings on iran's nuclear programme.",Duplicate character,"hr. elbaradi, generaldirektør for den internationale atomenergiorganisation, ventes at forelægge en rapport for styrelsesrådet den 16. juni om hans resuultater vedrørende irans atomvåbenprogram.","(1.00, 1.00)",0.8985396083419646,0.9627,0.9523809523809524,0.9523809523809524,0.9523809473809524,0.9090909090909092,0.9090909090909092,0.9090909040909092,0.9523809523809524,0.9523809523809524,0.9523809473809524,1.00,1.00,da
"det er et mindre aspekt af det mere overordnede problem, som vi konstant drøfter, og hermed mener jeg, hvordan unionen kan komme til at veje tungere på det udenrigspolitiske område.","it is a minor aspect of the more general problem we constantly discuss, by which i mean how the union can have greater weight in the foreign policy area.",Remove Token,"det er et mindre aspekt af det mere overordnede problem, som vi konstant drøfter, og hermed mener jeg, hvordan unionen kan komme til veje tungere på det udenrigspolitiske område.","(0.99, 1.00)",0.9210500207490828,0.9733,1.0,0.9642857142857144,0.9818181768198349,0.9642857142857144,0.9310344827586208,0.9473684160541708,1.0,0.9642857142857144,0.9818181768198349,0.99,1.00,da
eventuelle tegn på eksistensen af et sådant program vil imidlertid blive taget meget alvorligt og undersøgt grundigt.,"however, any indication of the possible existence of such a programme will be taken into serious account and examined with all due attention.",Add random word,eventuelle tegn på eksistensen af et sådant program mester vil imidlertid blive taget meget alvorligt og undersøgt grundigt.,"(0.98, 0.95)",0.8522456714074852,0.9938,0.9444444444444444,1.0,0.9714285664326532,0.8823529411764706,0.9375,0.9090909040955004,0.9444444444444444,1.0,0.9714285664326532,0.98,0.95,da
"deres ord minder mig om det, der blev sagt her i parlamentet i december 2000 i forbindelse med vedtagelsen af det fælles beslutningsforslag om afghanistan, hr. formand.","your words, president-in-office, remind me of what was said in this chamber in december 2000 with regard to the adoption of the joint resolution on afghanistan.",Duplicate Token,"deres ord ord minder mig om det, der blev sagt her i parlamentet i december 2000 i forbindelse med vedtagelsen af det fælles beslutningsforslag om afghanistan, hr . formand.","(0.99, 0.95)",0.9511126154570712,0.9967,1.0,1.0,0.999999995,0.9629629629629628,1.0,0.9811320704734782,1.0,1.0,0.999999995,0.99,0.95,da
"hr. formand, jeg anser parlamentets idé om at vedtage en sådan beslutning med forslag om at ændre styret i iran og en folkeafstemning om indførelse af demokrati for at være særdeles interessant.","mr president, i would find the idea of parliament's passing such a resolution, proposing a change of regime in iran and a referendum on the introduction of democracy, extremely interesting.",Swap words,"hr. formand, jeg anser parlamentets idé om at vedtage en sådan beslutning med forslag om at ændre styret i iran og en folkeafstemning om indførelse af demokrati for være at særdeles interessant. ","(0.99, 0.95)",0.9067658489656212,0.9993,0.9642857142857144,1.0,0.9818181768198349,0.8709677419354839,0.9,0.8852458966406881,0.9285714285714286,0.9629629629629628,0.9454545404561984,0.99,0.95,da
"rådet vil ud fra et politisk synspunkt tage det i betragtning, før rådet beslutter, hvad der skal ske.","from a political point of view, the council will bear it in mind before it decides what to do.",Replace Character,"rådet vil ud fra et politisk synspunkt tage det i betragtning, før rådet beslutter, hvad der skai ske.","(0.99, 0.99)",0.8806626677278203,0.9519,0.9411764705882352,0.9411764705882352,0.9411764655882354,0.8823529411764706,0.8823529411764706,0.8823529361764706,0.9411764705882352,0.9411764705882352,0.9411764655882354,0.99,0.99,da
"betænkning (a5-0143/2003) af smet for udvalget om beskæftigelse og sociale anliggender om analyse af den åbne koordinationsmetode inden for beskæftigelses- og socialområdet samt fremtidsperspektiverne (2002/2223(ini)), og","the report (a5-0143/2003) by mrs smet, on behalf of the committee on employment and social affairs, on analysis of the open coordination procedure in the field of employment and social affairs, and future prospects [2002/2223(ini)], and",Remove Token,"betænkning (a5-0143/2003) af smet for udvalget om beskæftigelse og sociale anliggender om analyse af den åbne koordinationsmetode inden for beskæftigelses- og socialområdet fremtidsperspektiverne (2002/2223 (ini)), og","(0.98, 0.95)",0.9210500207490828,0.9733,0.9047619047619048,0.9047619047619048,0.9047618997619048,0.84,0.84,0.839999995,0.9047619047619048,0.9047619047619048,0.9047618997619048,0.98,0.95,da
jeg vil nævne et eksempel vedrørende indvandringspolitikken.,i will illustrate this with migration policy.,Swap words,jeg vil nævne et eksempel indvandringspolitikken. vedrørende ,"(0.95, 0.9)",0.6147881529512644,0.9736,1.0,1.0,0.999999995,0.6666666666666666,0.6666666666666666,0.6666666616666668,1.0,1.0,0.999999995,0.95,0.9,da
"hvis de ministre, som beskæftiger sig med indvandring, beslutter at anvende metoden - bl.a. fordi man f.eks. ikke er i stand til at gennemføre lovgivning på dette område - vil den åbne koordinationsmetode blive anvendt ved indvandringspolitikken.","if the ministers involved in migration decide to apply the method - also because, for example, they are unable to lay down legislation in this area - the open method of coordination will be applied to migration policy.",Negation,"hvis de ministre, som beskæftiger sig med indvandring, beslutter at anvende metoden - bl.a . fordi man f.eks . er i stand til at gennemføre lovgivning på dette område - vil den åbne koordinationsmetode blive anvendt ved indvandringspolitikken.","(0.95, 0.9)",0.9370011451812968,0.9785,1.0,0.972972972972973,0.986301364863952,0.972972972972973,0.9473684210526316,0.9599999950008888,1.0,0.972972972972973,0.986301364863952,0.95,0.9,da
"parallelt med kulturudvalgets mål er der fru smets rapport om åben koordination inden for beskæftigelsesområdet og det sociale område, som er til drøftelse i dag.","running parallel with the aims of the committee on culture is the report by mrs smet on open coordination in the field of employment and social affairs, which is being discussed today.",Replace Character,"parallelt med kulturudvalgets mål er der fru smets rapport om åben koordination inden for beskæftigelsesområdet og det socialc område, som er til drøftelse i dag.","(0.99, 1.00)",0.8985396083419646,0.9627,0.9583333333333334,0.9583333333333334,0.9583333283333336,0.9166666666666666,0.9166666666666666,0.9166666616666668,0.9583333333333334,0.9583333333333334,0.9583333283333336,0.99,1.00,da
