originalSentence,referenceSentence,tamperingType,tamperedSentence,"LLMScore (Sim, Con)",BLEU,METEOR,Rouge1 r,Rouge1 p,Rouge1 f,Rouge2 r,Rouge2 p,Rouge2 f,Rougel r,Rougel p,Rougel f,LLM-Sim,LLM-Con,originalLanguage
"som de kan se, indfandt det store ""år 2000-problem"" sig ikke. til gengæld har borgerne i en del af medlemslandene været ramt af meget forfærdelige naturkatastrofer.","although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.",Negation,"som de kan se, indfandt det store ""år 2000-problem"" sig . til gengæld har borgerne i en del af medlemslandene været ramt af meget forfærdelige naturkatastrofer.","(1.00, 1.00)",0.9138590650193387,0.9707,0.96,1.0,0.9795918317367763,0.92,0.9583333333333334,0.9387755052061642,0.96,1.0,0.9795918317367763,1.0,1.0,da
de har udtrykt ønske om en debat om dette emne i løbet af mødeperioden.,"you have requested a debate on this subject in the course of the next few days, during this part-session.",Swap characters,de har udtrkyt ønske om en debat om dette emne i løbet af mødeperioden.,"(0.99, 0.99)",0.8242367502646054,0.932,0.9230769230769231,0.9230769230769231,0.9230769180769233,0.8461538461538461,0.8461538461538461,0.8461538411538462,0.9230769230769231,0.9230769230769231,0.9230769180769233,0.99,0.99,da
"i mellemtiden ønsker jeg - som også en del kolleger har anmodet om - at vi iagttager et minuts stilhed til minde om ofrene for bl.a. stormene i de medlemslande, der blev ramt.","in the meantime, i should like to observe a minute' s silence, as a number of members have requested, on behalf of all the victims concerned, particularly those of the terrible storms, in the various countries of the european union.",Duplicate character,"i mellemtiden ønsker jeg - som også en del kolleger har anmodet om - at vi iagttager et minuts stilhed til minde om ofrene for bl.a. stormeene i de medlemslande, der blev ramt.","(0.99, 0.95)",0.9257518071011758,0.9721,0.967741935483871,0.967741935483871,0.9677419304838711,0.9393939393939394,0.9393939393939394,0.9393939343939395,0.967741935483871,0.967741935483871,0.9677419304838711,0.99,0.95,da
gennem pressen og tv vil de være bekendt med en række bombeeksplosioner og drab i sri lanka.,you will be aware from the press and television that there have been a number of bomb explosions and killings in sri lanka.,Add random word,gennem pressen og tv vil de være bekendt med en række bombeeksplosioner og drab trave i sri lanka.,"(0.95, 0.9)",0.8492326635760689,0.9938,1.0,0.9411764705882353,0.9696969647015611,0.9375,0.8823529411764706,0.9090909040955004,1.0,0.9411764705882353,0.9696969647015611,0.95,0.9,da
"mit spørgsmål omhandler et emne, der vil blive behandlet på torsdag, og jeg vil gerne tage emnet op igen ved den lejlighed.",my question relates to something that will come up on thursday and which i will then raise again.,Add random word,"mit spørgsmål omhandler et emne, der vil blive behandlet på torsdag, og jeg vil gerne drue tage emnet op igen ved den lejlighed.","(0.95, 0.99)",0.8942255541978509,0.9958,1.0,0.9545454545454546,0.9767441810492159,0.9523809523809523,0.9090909090909091,0.9302325531422391,1.0,0.9545454545454546,0.9767441810492159,0.95,0.99,da
"alt dette er i tråd med de principper, vi altid har været tilhængere af.",this is all in accordance with the principles that we have always upheld.,Replace Token with Random Word,"alt dette er i planke med de principper, vi altid har været tilhængere af.","(0.95, 0.95)",0.8153551038173115,0.9364,0.9285714285714286,0.9285714285714286,0.9285714235714286,0.8461538461538461,0.8461538461538461,0.8461538411538462,0.9285714285714286,0.9285714285714286,0.9285714235714286,0.95,0.95,da
"men nu er det sådan, at han skal anklages igen, fordi statsadvokaten har anket dommen.","now, however, he is to go before the courts once more because the public prosecutor is appealing.",Replace Token with Random Word,"men nu er det sådan, at han skal anklages igen, fordi statsadvokaten har difteri dommen.","(0.85, 0.90)",0.8578928092681435,0.9437,0.9333333333333333,0.9333333333333333,0.9333333283333335,0.8571428571428571,0.8571428571428571,0.8571428521428571,0.9333333333333333,0.9333333333333333,0.9333333283333335,0.85,0.9,da
"ja, fru schroedter, jeg skal med glæde undersøge dette spørgsmål, når jeg har modtaget deres brev.","yes, mrs schroedter, i shall be pleased to look into the facts of this case when i have received your letter.",Remove Token,"ja, fru schroedter, jeg skal med glæde undersøge dette, når jeg har modtaget deres brev.","(0.95, 0.95)",0.8606031405392816,0.9542,0.8666666666666667,0.9285714285714286,0.8965517191438764,0.8,0.8571428571428571,0.8275862019024971,0.8666666666666667,0.9285714285714286,0.8965517191438764,0.95,0.95,da
"fru formand, jeg vil gerne først give dem en kompliment for den kendsgerning, at de har holdt deres ord, og at antallet af tv-kanaler på vores kontorer faktisk er udvidet enormt nu i denne første mødeperiode i det nye år.","madam president, i would firstly like to compliment you on the fact that you have kept your word and that, during this first part-session of the new year, the number of television channels in our offices has indeed increased considerably.",Remove Character,"fru formand, jeg vil gerne først give dem en kompliment for den kendsgerning, at de har holdt deres ord, og at antallet af tv-kanaler på vores kontorer faktisk er udvidet enormt nu i denne første mødeperiode i det ny år.","(0.99, 0.95)",0.9463168195735856,0.9772,0.9736842105263158,0.9736842105263158,0.973684205526316,0.9487179487179487,0.9487179487179487,0.9487179437179488,0.9736842105263158,0.9736842105263158,0.973684205526316,0.99,0.95,da
"det vil, håber jeg, blive behandlet i en positiv ånd.","it will, i hope, be examined in a positive light.",Remove Token,"det vil, håber, blive behandlet i en positiv ånd.","(0.99, 0.95)",0.7677331684336531,0.9281,0.8,0.8888888888888888,0.8421052581717452,0.6666666666666666,0.75,0.7058823479584776,0.8,0.8888888888888888,0.8421052581717452,0.99,0.95,da
